entries, serialized_size, dump_time, load_time
1024, 1.3877, 0.0108, 0.0162
2048, 2.7754, 0.0214, 0.0315
3072, 4.1631, 0.0332, 0.0580
4096, 5.5508, 0.0448, 0.0803
5120, 6.9385, 0.0527, 0.0960
6144, 8.3262, 0.0658, 0.1225
7168, 9.7139, 0.0764, 0.1495
8192, 11.1016, 0.0912, 0.1721
9216, 12.4893, 0.1185, 0.2178
10240, 13.8770, 0.1108, 0.2347
11264, 15.2647, 0.1222, 0.2622
12288, 16.6524, 0.1304, 0.2938
13312, 18.0400, 0.1419, 0.3269
14336, 19.4277, 0.1498, 0.3603
15360, 20.8154, 0.1648, 0.4055
16384, 22.2031, 0.1767, 0.4344
